order_no,status,datetime,outlet,service_type,service_number,sale_date,shift,terminal,placed_by,closed_by,table_info,items,discount_type,discount_amount,total
013302,Completed,26-09-2025 09:04:17 PM,Default Outlet,Takeaway,# 26,26-09-2025,Default Shift,,Admin,Admin,,BBQ Chicken (qty: 1) + Large (৳399.00),,,399.00
013301,Completed,26-09-2025 08:29:48 PM,Default Outlet,Dine-in,# 22,26-09-2025,Default Shift,,Admin,Admin,Table 3,BBQ Chicken (qty: 1) + Medium (৳299.00) | Soft Drinks (qty: 3),,,374.00
013300,Completed,26-09-2025 07:57:29 PM,Default Outlet,Dine-in,# 21,26-09-2025,Default Shift,,Admin,Admin,Table 4,Chicken Sausage (qty: 1) + Large (৳389.00) | Fresh Water (qty: 2),,,429.00
013299,Completed,26-09-2025 07:48:49 PM,Default Outlet,Dine-in,# 19,26-09-2025,Default Shift,,Admin,Admin,Table 1,Two Flavour Mixed (qty: 1) + Small (৳200.00) | Chocolate Cold Coffee (qty: 1),,,280.00
013298,Completed,26-09-2025 07:43:37 PM,Default Outlet,Dine-in,# 18,26-09-2025,Default Shift,,Admin,Admin,Table 3,Soft Drinks (qty: 3) | Hot Combo (qty: 1) | Fresh Water (qty: 1),,,545.00
013297,Completed,26-09-2025 07:32:26 PM,Default Outlet,Dine-in,# 16,26-09-2025,Default Shift,,Admin,Admin,Table 6,Cheesy Chicken Nachos (qty: 1) | BBQ Rice Bowl (qty: 1) | Soft Drinks (qty: 2) | Fresh Water (qty: 1),Staff Discount,31.00,359.00
013296,Completed,26-09-2025 07:04:41 PM,Default Outlet,Dine-in,# 17,26-09-2025,Default Shift,,Admin,Admin,Table 2,Two Flavour Mixed (qty: 1) + Small (৳200.00),,,200.00
013295,Completed,26-09-2025 07:04:35 PM,Default Outlet,Dine-in,# 13,26-09-2025,Default Shift,,Admin,Admin,Table 1,BBQ Chicken (qty: 1) + Small (৳199.00),,,199.00
013294,Completed,26-09-2025 07:02:47 PM,Default Outlet,Takeaway,# 15,26-09-2025,Default Shift,,Admin,Admin,,BBQ Chicken (qty: 1) + Large (৳399.00) | Hot Combo (qty: 1),Staff Discount,300.00,549.00
013293,Completed,26-09-2025 06:50:48 PM,Default Outlet,Dine-in,# 12,26-09-2025,Default Shift,,Admin,Admin,Table 4,Two Flavour Mixed (qty: 2) + Small (৳200.00) | BBQ Rice Bowl (qty: 1) | Cheesy Rice Bowl (qty: 1) | Crispy Rice Bowl (qty: 1) | Soft Drinks (qty: 3),,,845.00
013292,Completed,26-09-2025 06:44:48 PM,Default Outlet,Dine-in,# 14,26-09-2025,Default Shift,,Admin,Admin,Table 6,Two Flavour Mixed (qty: 1) + Small (৳200.00),,,200.00
013291,Completed,26-09-2025 06:07:47 PM,Default Outlet,Takeaway,# 11,26-09-2025,Default Shift,,Admin,Admin,,Two Flavour Mixed (qty: 1) + Small (৳200.00),,,200.00
013290,Completed,26-09-2025 06:01:31 PM,Default Outlet,Dine-in,# 8,26-09-2025,Default Shift,,Admin,Admin,Table 4,Winter Combo (qty: 1) | Soft Drinks (qty: 2),,,449.00
013289,Completed,26-09-2025 05:42:38 PM,Default Outlet,Dine-in,# 7,26-09-2025,Default Shift,,Admin,Admin,Table 1,Two Flavour Mixed (qty: 1) + Small (৳200.00) | BBQ Rice Bowl (qty: 3) | Fresh Water (qty: 2) | Chocolate Cold Coffee (qty: 3),Staff Discount,90.00,780.00
013288,Completed,26-09-2025 05:31:52 PM,Default Outlet,Delivery,# 9,26-09-2025,Default Shift,,Admin,Admin,,Delicious Pepperoni (qty: 1) + Large (৳409.00),,,409.00
013287,Completed,26-09-2025 05:19:20 PM,Default Outlet,Delivery,# 6,26-09-2025,Default Shift,,Admin,Admin,,Two Flavour Mixed (qty: 1) + Small (৳200.00),,,200.00
013286,Completed,26-09-2025 05:05:42 PM,Default Outlet,Dine-in,# 5,26-09-2025,Default Shift,,Admin,Admin,Table 6,BBQ Chicken (qty: 1) + Small (৳199.00) | Chicken Pop (qty: 1) | Chocolate Cold Coffee (qty: 2),,,509.00
013285,Completed,26-09-2025 04:41:51 PM,Default Outlet,Takeaway,# 3,26-09-2025,Default Shift,,Admin,Admin,,Two Flavour Mixed (qty: 1) + Large (৳400.00) | Chicken Pop (qty: 1) | Potato Masala Wedges (qty: 1),,,649.00
013284,Completed,26-09-2025 04:40:02 PM,Default Outlet,Takeaway,# 2,26-09-2025,Default Shift,,Admin,Admin,,BBQ Chicken (qty: 1) + Small (৳199.00),Staff Discount,50.00,149.00
013283,Completed,25-09-2025 10:34:46 PM,Default Outlet,Delivery,# 50,25-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 2) + Small (৳199.00),Staff Discount,99.00,299.00
013282,Completed,25-09-2025 10:34:22 PM,Default Outlet,Delivery,# 51,25-09-2025,Default Shift,Default Terminal,Admin,Admin,,Two Flavour Mixed (qty: 1) + Small (৳200.00),,,200.00
013281,Completed,25-09-2025 10:01:47 PM,Default Outlet,Dine-in,# 49,25-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 4,Two Flavour Mixed (qty: 1) + Medium (৳300.00),,,300.00
013280,Completed,25-09-2025 09:31:06 PM,Default Outlet,Dine-in,# 46,25-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 1,BBQ Chicken (qty: 1) + Medium (৳299.00),,,299.00
013279,Completed,25-09-2025 09:30:51 PM,Default Outlet,Takeaway,# 45,25-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 2) + Small (৳199.00),Staff Discount,98.00,300.00
013278,Completed,25-09-2025 09:30:08 PM,Default Outlet,Takeaway,# 44,25-09-2025,Default Shift,Default Terminal,Admin,Admin,,Hot Combo (qty: 1),,,450.00
013277,Completed,25-09-2025 09:29:56 PM,Default Outlet,Dine-in,# 42,25-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 7,BBQ Chicken (qty: 1) + Small (৳199.00),Staff Discount,50.00,149.00
013276,Completed,25-09-2025 09:28:32 PM,Default Outlet,Takeaway,# 48,25-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Large (৳399.00),,,399.00
013275,Completed,25-09-2025 09:28:20 PM,Default Outlet,Dine-in,# 47,25-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 8,BBQ Chicken (qty: 1) + Small (৳199.00),Staff Discount,50.00,149.00
013274,Completed,25-09-2025 08:58:23 PM,Default Outlet,Delivery,# 43,25-09-2025,Default Shift,Default Terminal,Admin,Admin,,Pizza Blast (qty: 1) + 12” (৳399.00),,,399.00
013273,Completed,25-09-2025 08:57:53 PM,Default Outlet,Dine-in,# 41,25-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 6,BBQ Chicken (qty: 1) + Small (৳199.00) | Two Flavour Mixed (qty: 1) + Small (৳200.00),Staff Discount,50.00,349.00
013272,Completed,25-09-2025 08:29:58 PM,Default Outlet,Delivery,# 39,25-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Small (৳199.00) | Crispy Rice Bowl (qty: 1) | Chicken Chili Rice Bowl (qty: 1),Staff Discount,90.00,349.00
013271,Completed,25-09-2025 08:28:38 PM,Default Outlet,Delivery,# 40,25-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Small (৳199.00),,,199.00
013270,Completed,25-09-2025 07:42:57 PM,Default Outlet,Dine-in,# 30,25-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 8,BBQ Rice Bowl (qty: 1) | Cheesy Rice Bowl (qty: 1) | Fresh Water (qty: 1),Staff Discount,50.00,220.00
013269,Completed,25-09-2025 07:41:35 PM,Default Outlet,Takeaway,# 34,25-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Small (৳199.00),Staff Discount,50.00,149.00
013268,Completed,25-09-2025 07:34:22 PM,Default Outlet,Delivery,# 38,25-09-2025,Default Shift,Default Terminal,Admin,Admin,,Two Flavour Mixed (qty: 1) + Small (৳200.00) | Crispy Rice Bowl (qty: 1),Staff Discount,20.00,300.00
013267,Completed,25-09-2025 07:25:40 PM,Default Outlet,Dine-in,# 33,25-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 8,Mixed Pasta (qty: 1) | Soft Drinks (qty: 2),,,280.00
013266,Completed,25-09-2025 07:18:57 PM,Default Outlet,Dine-in,# 32,25-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 5,BBQ Chicken (qty: 1) + Small (৳199.00),Staff Discount,50.00,149.00
013265,Completed,25-09-2025 07:06:03 PM,Default Outlet,Dine-in,# 28,25-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 1,BBQ Chicken (qty: 1) + Small (৳199.00) | Soft Drinks (qty: 3),Staff Discount,50.00,224.00
013264,Completed,25-09-2025 07:05:38 PM,Default Outlet,Dine-in,# 31,25-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 7,Two Flavour Mixed (qty: 1) + Small (৳200.00) | Chicken Pop (qty: 1) | Soft Drinks (qty: 2),,,400.00
013263,Completed,25-09-2025 07:05:13 PM,Default Outlet,Dine-in,# 27,25-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 4,Two Flavour Mixed (qty: 1) + Medium (৳300.00) | Chicken Pop (qty: 1) | Soft Drinks (qty: 3),,,525.00
013262,Completed,25-09-2025 07:00:47 PM,Default Outlet,Dine-in,# 26,25-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 6,BBQ Chicken (qty: 1) + Medium (৳299.00) | Chicken Sausage (qty: 1) + Medium (৳289.00),Staff Discount,88.00,500.00
013261,Completed,25-09-2025 06:49:47 PM,Default Outlet,Takeaway,# 29,25-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Small (৳199.00),Staff Discount,50.00,149.00
013260,Completed,25-09-2025 06:24:43 PM,Default Outlet,Delivery,# 25,25-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Small (৳199.00),Staff Discount,50.00,149.00
013259,Completed,25-09-2025 06:20:35 PM,Default Outlet,Delivery,# 24,25-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Small (৳199.00),Staff Discount,50.00,149.00
013258,Completed,25-09-2025 06:19:00 PM,Default Outlet,Dine-in,# 23,25-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 8,BBQ Chicken (qty: 1) + Small (৳199.00) | Cheesy Rice Bowl (qty: 1),Staff Discount,70.00,249.00
013257,Completed,25-09-2025 06:05:25 PM,Default Outlet,Delivery,# 22,25-09-2025,Default Shift,Default Terminal,Admin,Admin,,Naga Spicy Chicken (qty: 1) + Medium (৳300.00),,,300.00
013256,Completed,25-09-2025 06:01:02 PM,Default Outlet,Dine-in,# 17,25-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 6,Cheesy Rice Bowl (qty: 1),Staff Discount,20.00,100.00
013255,Completed,25-09-2025 06:00:21 PM,Default Outlet,Delivery,# 21,25-09-2025,Default Shift,Default Terminal,Admin,Admin,,Two Flavour Mixed (qty: 1) + Medium (৳300.00),,,300.00
013254,Completed,25-09-2025 06:00:07 PM,Default Outlet,Delivery,# 6,25-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken Offer 6” (qty: 1) + 6” (৳199.00),Staff Discount,50.00,149.00
013253,Completed,25-09-2025 05:58:42 PM,Default Outlet,Delivery,# 19,25-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Small (৳199.00),Staff Discount,50.00,149.00
013252,Completed,25-09-2025 05:58:02 PM,Default Outlet,Delivery,# 20,25-09-2025,Default Shift,Default Terminal,Admin,Admin,,Two Flavour Mixed (qty: 1) + Small (৳200.00),,,200.00
013251,Completed,25-09-2025 05:56:52 PM,Default Outlet,Delivery,# 2,25-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Small (৳199.00),Staff Discount,50.00,149.00
013250,Completed,25-09-2025 05:56:03 PM,Default Outlet,Delivery,# 18,25-09-2025,Default Shift,Default Terminal,Admin,Admin,,Two Flavour Mixed (qty: 1) + Small (৳200.00),,,200.00
013249,Completed,25-09-2025 05:36:37 PM,Default Outlet,Dine-in,# 16,25-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 4,Naga Spicy Chicken (qty: 1) + Medium (৳300.00),,,300.00
013248,Completed,25-09-2025 05:10:08 PM,Default Outlet,Delivery,# 15,25-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Small (৳199.00),Staff Discount,50.00,149.00
013247,Completed,25-09-2025 05:05:59 PM,Default Outlet,Takeaway,# 12,25-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 2) + Small (৳199.00),Staff Discount,98.00,300.00
013246,Completed,25-09-2025 05:05:43 PM,Default Outlet,Takeaway,# 14,25-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Small (৳199.00),Staff Discount,50.00,149.00
013245,Completed,25-09-2025 05:02:01 PM,Default Outlet,Dine-in,# 10,25-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 1,BBQ Chicken (qty: 2) + Small (৳199.00) | Fresh Water (qty: 1),Staff Discount,98.00,320.00
013244,Completed,25-09-2025 05:01:40 PM,Default Outlet,Dine-in,# 11,25-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 6,Chocolate Cold Coffee (qty: 1),Staff Discount,20.00,60.00
013243,Completed,25-09-2025 04:23:16 PM,Default Outlet,Delivery,# 9,25-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Small (৳199.00),Staff Discount,50.00,149.00
013242,Completed,25-09-2025 04:22:42 PM,Default Outlet,Delivery,# 8,25-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Small (৳199.00),Staff Discount,50.00,149.00
013241,Completed,25-09-2025 03:32:20 PM,Default Outlet,Delivery,# 5,25-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Small (৳199.00),Staff Discount,50.00,149.00
013240,Completed,25-09-2025 03:32:05 PM,Default Outlet,Delivery,# 4,25-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Small (৳199.00),Staff Discount,50.00,149.00
013239,Completed,25-09-2025 03:18:23 PM,Default Outlet,Delivery,# 3,25-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Small (৳199.00),Staff Discount,50.00,149.00
013238,Completed,25-09-2025 01:10:17 PM,Default Outlet,Takeaway,# 1,25-09-2025,Default Shift,Default Terminal,Admin,Admin,,Two Flavour Mixed (qty: 1) + Large (৳400.00),Staff Discount,30.00,370.00
013237,Completed,24-09-2025 11:07:32 PM,Default Outlet,Delivery,# 35,24-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 2) + Small (৳199.00),Staff Discount,98.00,300.00
013236,Completed,24-09-2025 11:00:52 PM,Default Outlet,Delivery,# 36,24-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Small (৳199.00),Staff Discount,50.00,149.00
013235,Completed,24-09-2025 10:52:07 PM,Default Outlet,Takeaway,# 34,24-09-2025,Default Shift,Default Terminal,Admin,Admin,,Pizza Italian (qty: 1) + Small (৳225.00),,,225.00
013234,Completed,24-09-2025 10:49:17 PM,Default Outlet,Delivery,# 32,24-09-2025,Default Shift,Default Terminal,Admin,Admin,,Pizza Italian (qty: 1) + Medium (৳325.00) | Corridor Special Pasta (qty: 1),,,575.00
013233,Completed,24-09-2025 10:44:55 PM,Default Outlet,Dine-in,# 14,24-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 1,Naga Spicy Chicken (qty: 1) + Small (৳200.00) | BBQ Chicken (qty: 1) + Small (৳199.00) | Fresh Water (qty: 1),Staff Discount,100.00,319.00
013232,Completed,24-09-2025 10:38:09 PM,Default Outlet,Delivery,# 33,24-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Rice Bowl (qty: 2),Staff Discount,60.00,200.00
013231,Completed,24-09-2025 10:31:35 PM,Default Outlet,Takeaway,# 30,24-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Small (৳199.00),Staff Discount,50.00,149.00
013230,Completed,24-09-2025 10:06:26 PM,Default Outlet,Delivery,# 28,24-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Small (৳199.00),Staff Discount,50.00,149.00
013229,Completed,24-09-2025 10:05:24 PM,Default Outlet,Delivery,# 29,24-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Small (৳199.00),Staff Discount,50.00,149.00
013228,Completed,24-09-2025 09:56:18 PM,Default Outlet,Delivery,# 27,24-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Small (৳199.00),Staff Discount,50.00,149.00
013227,Completed,24-09-2025 09:52:46 PM,Default Outlet,Delivery,# 21,24-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Medium (৳299.00) | Chicken Sausage (qty: 1) + Medium (৳289.00),Staff Discount,88.00,500.00
013226,Completed,24-09-2025 09:50:41 PM,Default Outlet,Delivery,# 25,24-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Small (৳199.00),Staff Discount,50.00,149.00
013225,Completed,24-09-2025 09:49:56 PM,Default Outlet,Delivery,# 24,24-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Small (৳199.00),Staff Discount,50.00,149.00
013224,Completed,24-09-2025 09:45:55 PM,Default Outlet,Dine-in,# 18,24-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 6,Hot Combo (qty: 1),,,450.00
013223,Completed,24-09-2025 09:34:13 PM,Default Outlet,Dine-in,# 20,24-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 8,BBQ Chicken (qty: 1) + Small (৳199.00),Staff Discount,50.00,149.00
013222,Completed,24-09-2025 09:26:53 PM,Default Outlet,Dine-in,# 19,24-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 1,BBQ Chicken (qty: 1) + Small (৳199.00),Staff Discount,49.00,150.00
013221,Completed,24-09-2025 09:21:13 PM,Default Outlet,Delivery,# 17,24-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Small (৳199.00),Staff Discount,49.00,150.00
013220,Completed,24-09-2025 09:19:56 PM,Default Outlet,Delivery,# 13,24-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Small (৳199.00),Staff Discount,49.00,150.00
013219,Completed,24-09-2025 09:17:09 PM,Default Outlet,Delivery,# 15,24-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Small (৳199.00),Staff Discount,49.00,150.00
013218,Completed,24-09-2025 09:12:36 PM,Default Outlet,Delivery,# 10,24-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Medium (৳299.00) | Chicken Sausage (qty: 1) + Medium (৳289.00),Staff Discount,88.00,500.00
013217,Completed,24-09-2025 09:01:31 PM,Default Outlet,Delivery,# 11,24-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 2) + Small (৳199.00),Staff Discount,98.00,300.00
013216,Completed,24-09-2025 08:59:48 PM,Default Outlet,Delivery,# 12,24-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 2) + Small (৳199.00),Staff Discount,98.00,300.00
013215,Completed,24-09-2025 08:56:27 PM,Default Outlet,Takeaway,# 16,24-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Large (৳399.00),,,399.00
013214,Completed,24-09-2025 08:53:19 PM,Default Outlet,Delivery,# 9,24-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Small (৳199.00),Staff Discount,49.00,150.00
013213,Completed,24-09-2025 08:48:24 PM,Default Outlet,Dine-in,# 8,24-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 3,BBQ Chicken (qty: 2) + Small (৳199.00) | Soft Drinks (qty: 3),Staff Discount,98.00,375.00
013212,Completed,24-09-2025 08:17:53 PM,Default Outlet,Delivery,# 7,24-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Small (৳199.00) | Crispy Rice Bowl (qty: 1),Staff Discount,70.00,249.00
013211,Completed,24-09-2025 08:15:54 PM,Default Outlet,Delivery,# 6,24-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Small (৳199.00),Staff Discount,50.00,149.00
013210,Completed,24-09-2025 08:02:03 PM,Default Outlet,Dine-in,# 2,24-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 4,Mexican Hot (qty: 1) + Medium (৳295.00) | Sausage Rice Bowl (qty: 1) | Soft Drinks (qty: 1),Staff Discount,20.00,420.00
013209,Completed,24-09-2025 08:00:47 PM,Default Outlet,Delivery,# 5,24-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Small (৳199.00),Staff Discount,49.00,150.00
013208,Completed,24-09-2025 07:59:18 PM,Default Outlet,Delivery,# 4,24-09-2025,Default Shift,Default Terminal,Admin,Admin,,Chicken Sausage (qty: 1) + Small (৳189.00) | BBQ Chicken (qty: 1) + Small (৳199.00),Staff Discount,88.00,300.00
013207,Completed,24-09-2025 07:58:03 PM,Default Outlet,Delivery,# 3,24-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Small (৳199.00),Staff Discount,50.00,149.00
013206,Completed,24-09-2025 02:09:16 PM,Default Outlet,Dine-in,# 1,24-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 4,BBQ Rice Bowl (qty: 2) | Soft Drinks (qty: 1),Staff Discount,60.00,225.00
013205,Completed,23-09-2025 10:34:51 PM,Default Outlet,Takeaway,# 17,23-09-2025,Default Shift,Default Terminal,Admin,Admin,,Hot Combo (qty: 1),,,450.00
013204,Completed,23-09-2025 10:31:29 PM,Default Outlet,Takeaway,# 18,23-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 1,Mexican Hot (qty: 1) + Medium (৳295.00),,,295.00
013203,Completed,23-09-2025 10:09:42 PM,Default Outlet,Delivery,# 16,23-09-2025,Default Shift,Default Terminal,Admin,Admin,,Corridor Special Pasta (qty: 1),,,250.00
013202,Completed,23-09-2025 08:42:21 PM,Default Outlet,Dine-in,# 15,23-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 8,BBQ Rice Bowl (qty: 1) | Fresh Water (qty: 1),Staff Discount,30.00,120.00
013201,Completed,23-09-2025 08:16:26 PM,Default Outlet,Dine-in,# 13,23-09-2025,Default Shift,Default Terminal,Admin,Admin,,Cheesy Rice Bowl (qty: 1) | Sausage Rice Bowl (qty: 1) | Soft Drinks (qty: 2),Staff Discount,40.00,250.00
013200,Completed,23-09-2025 08:00:34 PM,Default Outlet,Dine-in,# 12,23-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 4,BBQ Rice Bowl (qty: 1) | Crispy Rice Bowl (qty: 1),Staff Discount,50.00,200.00
013199,Completed,23-09-2025 07:55:47 PM,Default Outlet,Dine-in,# 14,23-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 3,Chicken Sausage (qty: 1) + Small (৳189.00) | Two Flavour Mixed (qty: 1) + Large (৳400.00) | Sausage Rice Bowl (qty: 2),Staff Discount,40.00,789.00
013198,Completed,23-09-2025 07:33:47 PM,Default Outlet,Dine-in,# 10,23-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 1,Classic Meat Box (qty: 1) | Soft Drinks (qty: 2),,,269.00
013197,Completed,23-09-2025 07:14:37 PM,Default Outlet,Dine-in,# 11,23-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 2,Two Flavour Mixed (qty: 1) + Small (৳200.00),,,200.00
013196,Completed,23-09-2025 07:03:18 PM,Default Outlet,Dine-in,# 8,23-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 6,Cheesy Rice Bowl (qty: 4) | Soft Drinks (qty: 4) | Fresh Water (qty: 1),Staff Discount,80.00,520.00
013195,Completed,23-09-2025 06:30:26 PM,Default Outlet,Dine-in,# 7,23-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 1,Two Flavour Mixed (qty: 1) + Small (৳200.00) | BBQ Rice Bowl (qty: 1) | Fresh Water (qty: 1),Staff Discount,30.00,320.00
013194,Completed,23-09-2025 06:22:11 PM,Default Outlet,Dine-in,# 6,23-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 3,All in one Chicken (qty: 1) + Medium (৳355.00) | Soft Drinks (qty: 3) | Sausage Pasta (qty: 1),,,620.00
013193,Completed,23-09-2025 06:12:59 PM,Default Outlet,Dine-in,# 5,23-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 4,Pizza Italian (qty: 1) + Medium (৳325.00) | Fresh Water (qty: 1),,,345.00
013192,Completed,23-09-2025 05:33:16 PM,Default Outlet,Dine-in,# 4,23-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 6,Chicken Chili Rice Bowl (qty: 1) | Chocolate Milk Shake (qty: 1) | Fresh Water (qty: 1),Staff Discount,20.00,250.00
013191,Completed,23-09-2025 04:15:46 PM,Default Outlet,Delivery,# 3,23-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 4) + Small (৳199.00),,,796.00
013190,Completed,23-09-2025 03:49:24 PM,Default Outlet,Dine-in,# 2,23-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 6,BBQ Rice Bowl (qty: 2),Staff Discount,60.00,200.00
013189,Completed,23-09-2025 02:43:39 PM,Default Outlet,Dine-in,# 1,23-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 1,Winter Combo (qty: 1) | Fresh Water (qty: 1),,,419.00
013188,Completed,22-09-2025 09:14:44 PM,Default Outlet,Delivery,# 15,22-09-2025,Default Shift,Default Terminal,Admin,Admin,,BBQ Chicken (qty: 1) + Small (৳199.00) | Chicken Sausage (qty: 1) + Small (৳189.00),Staff Discount,88.00,300.00
013187,Completed,22-09-2025 08:06:59 PM,Default Outlet,Dine-in,# 13,22-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 8,BBQ Rice Bowl (qty: 1) | Sausage Rice Bowl (qty: 1) | Soft Drinks (qty: 2),,,300.00
013186,Completed,22-09-2025 08:00:12 PM,Default Outlet,Delivery,# 14,22-09-2025,Default Shift,Default Terminal,Admin,Admin,,Two Flavour Mixed (qty: 1) + Small (৳200.00),,,200.00
013185,Completed,22-09-2025 07:50:10 PM,Default Outlet,Takeaway,# 12,22-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 5,Double Cheese Pizza (qty: 1) + Large (৳425.00),,,425.00
013184,Completed,22-09-2025 07:47:48 PM,Default Outlet,Dine-in,# 9,22-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 4,Winter Combo (qty: 1) | Soft Drinks (qty: 2) | Fresh Water (qty: 1),,,469.00
013183,Completed,22-09-2025 07:39:33 PM,Default Outlet,Dine-in,# 10,22-09-2025,Default Shift,Default Terminal,Admin,Admin,Table 1,BBQ Chicken (qty: 1) + Small (৳199.00) | Chicken Sausage (qty: 1) + Small (৳189.00) | Fresh Water (qty: 1),Staff Discount,88.00,320.00
